hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
GSDDE,17995767,-926198.0,-5.0,-0.44
AVTUR,5951018,-22618.0,-0.0,-0.04
ORGE,96343929,-9624378.0,-10.0,-8.47
QUAGR,54559931,3378354.0,6.0,0.21
TEZOL,145972583,-2519332.0,-2.0,-0.32
KTSKR,28732628,5484243.0,19.0,11.4
AGESA,64942880,-4750361.0,-7.000000000000001,-10.27
TTRAK,111174230,4988554.0,4.0,30.88
BIOEN,36217080,2386408.0,7.000000000000001,0.99
MTRYO,9807827,315742.0,3.0,0.24
KLGYO,38729310,-973080.0,-3.0,-0.12
JANTS,38554341,1091071.0,3.0,0.7
ANSGR,494493574,1098955.0,0.0,0.25
EGSER,16919635,-262480.0,-2.0,-0.06
BRKO,544889946,0.0,0.0,0.0
MAALT,24264626,-2775887.0,-11.0,-88.31
SAMAT,30221666,521580.0,2.0,0.33
KNFRT,22820806,-4623301.0,-20.0,-2.4
Z30KP,359881392,95046343.0,26.0,36.73
BRMEN,141677042,0.0,0.0,0.0
DENGE,82425622,7859968.0,10.0,0.32
GEREL,46719400,4342206.0,9.0,0.82
ETYAT,6418697,-2239527.0,-35.0,-3.6
cvkmd,202119444,-28517719.0,-14.000000000000002,-1.38
PGSUS,1542267963,-246448366.0,-16.0,-37.83
PSGYO,82889202,3760015.0,5.0,0.07
CEMAS,55005907,2227631.0,4.0,0.12
ADESE,74146422,-6536757.0,-9.0,-0.18
SANKO,11591384,177394.0,2.0,0.35
ANHYT,110133473,-649243.0,-1.0,-0.59
PNLSN,29217369,1899591.0,7.000000000000001,2.88
GENIL,48295200,-6567564.0,-14.000000000000002,-15.48
ZOREN,236064271,-28316182.0,-12.0,-0.48
CMENT,244444990,0.0,0.0,0.0
BOSSA,18731015,1018363.0,5.0,0.34
SRVGY,102000147,15037353.0,15.0,34.01
VANGD,15944114,841880.0,5.0,1.25
PRKAB,22605271,4070661.0,18.0,5.45
ARASE,26108887,-1967876.0,-8.0,-3.6
PRKME,17601648,-209799.0,-1.0,-0.24
KFEIN,55638609,589014.0,1.0,1.12
AGYO,8395205,-2635681.0,-31.0,-2.18
KRDMB,110676870,9472344.0,9.0,2.25
GRSEL,258199462,-49109406.0,-19.0,-43.27
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tatgd,19821396,2482343.0,13.0,1.54
odas,219591711,-17501111.0,-8.0,-0.44
cwene,75019626,-5264713.0,-7.000000000000001,-1.34
uluun,21925375,1419938.0,6.0,0.39
AYDEM,40066014,-5279959.0,-13.0,-2.85
conse,25841695,-1969512.0,-8.0,-0.2
ASELS,4480416886,-871687427.0,-19.0,-16.12
TUPRS,2353899095,-515858187.0,-22.0,-30.67
KCHOL,5061649939,-468260397.0,-9.0,-15.19
ARCLK,398315052,-7699277.0,-2.0,-2.5
EREGL,5176841321,-668248052.0,-13.0,-2.96
KRDMD,1251224260,-16430851.0,-1.0,-0.37
SAHOL,1231128978,-191218785.0,-16.0,-15.11
SASA,1802325261,-71686069.0,-4.0,-0.14
ENJSA,241617027,-20812791.0,-9.0,-5.26
AKSA,141155197,-14008747.0,-10.0,-1.19
HEKTS,318338395,-15595329.0,-5.0,-0.17
