hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
BIOEN,133543756,35377742.0,26.0,4.14
MTRYO,5921715,-33071.0,-1.0,-0.04
KLGYO,43461994,3094524.0,7.000000000000001,0.34
JANTS,42717820,834827.0,2.0,0.48
ANSGR,310615678,-6702727.0,-2.0,-2.44
EGSER,12800280,1276453.0,10.0,0.35
BRKO,548281776,0.0,0.0,0.0
MAALT,19652442,-2928910.0,-15.0,-114.05
SAMAT,91831381,2686011.0,3.0,0.56
KNFRT,28268673,1336855.0,5.0,0.55
Z30KP,440934819,123178976.0,28.000000000000004,38.79
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tatgd,32154624,-8358699.0,-26.0,-3.15
odas,368278772,73699242.0,20.0,1.11
cwene,60299670,3584343.0,6.0,1.12
uluun,16601117,265863.0,2.0,0.1
AYDEM,33597042,3080496.0,9.0,1.97
conse,16535971,-49071.0,-0.0,-0.01
ASELS,1873001896,96398609.0,5.0,4.21
TUPRS,2190732505,84150821.0,4.0,5.3
KCHOL,2708493982,-83600817.0,-3.0,-4.99
ARCLK,559278437,126677938.0,23.0,29.29
EREGL,5002073442,1020798331.0,20.0,4.68
KRDMD,1281538417,-53143513.0,-4.0,-1.16
SAHOL,1317386424,-923376.0,-0.0,-0.07
SASA,2276536086,10184988.0,0.0,0.02
ENJSA,185858298,5143125.0,3.0,1.67
AKSA,185389262,18756193.0,10.0,1.2
HEKTS,457523945,-35752703.0,-8.0,-0.28
TKFEN,468389851,1598808.0,0.0,0.22
SISE,988486958,-3290637.0,-0.0,-0.12
EKGYO,2090648698,-230472598.0,-11.0,-1.53
SOKE,16382776,2442142.0,15.0,1.72
KLKIM,65837193,-496925.0,-1.0,-0.23
MEPET,6752167,-966956.0,-14.000000000000002,-1.27
BJKAS,126131650,1064498.0,1.0,0.04
TUREX,253327401,-23795625.0,-9.0,-14.7
ALGYO,58293142,-1147045.0,-2.0,-0.37
GMSTR,287012475,6314664.0,2.0,5.09
KUYAS,104315113,13643636.0,13.0,2.98
ISGYO,75974325,-22918345.0,-30.0,-5.72
SELEC,107145122,146537.0,0.0,0.09
KRONT,14936260,1906553.0,13.0,2.67
USDTR,77928923,-850303.0,-1.0,-36.75
ISFIN,37810003,3507186.0,9.0,1.18
BAGFS,15490163,-3010852.0,-19.0,-4.17
SARKY,21165281,2488253.0,12.0,2.2
ASTOR,1525118116,-236202439.0,-15.0,-18.35
BTCIM,129303902,-9172647.0,-7.000000000000001,-0.31
LKMNH,30747576,1601727.0,5.0,1.05
ERBOS,14865103,1896722.0,13.0,22.01
RAYSG,107441630,-27560078.0,-26.0,-89.25
DMSAS,97416701,-15943839.0,-16.0,-1.54
KZBGY,24623229,2217120.0,9.0,0.48
YATAS,22384818,-8337802.0,-37.0,-9.94
DOCO,76849550,-2303868.0,-3.0,-219.06
ESCOM,34660480,-4528634.0,-13.0,-6.31
OZSUB,30155853,1960008.0,6.0,2.38
KLMSN,22331179,-1980643.0,-9.0,-2.33
SUMAS,114101764,0.0,0.0,0.0
KARTN,105120270,4220231.0,4.0,4.43
IPEKE,477901711,-14418777.0,-3.0,-1.81
DOBUR,69948018,6499936.0,9.0,17.49
SAFKR,58248146,180735.0,0.0,0.18
HTTBT,47183338,1829271.0,4.0,1.5
SONME,9293098,-1102438.0,-12.0,-10.07
FROTO,1146939654,-126628886.0,-11.0,-101.17
EMKEL,63842680,-7308219.0,-11.0,-1.98
RYGYO,45883454,3775011.0,8.0,1.31
LOGO,62867333,-9347698.0,-15.0,-16.82
KOZAL,2119680488,272227440.0,13.0,3.11
ALCTL,68645106,3570538.0,5.0,7.38
DIRIT,319037771,0.0,0.0,0.0
EUHOL,1004454857,0.0,0.0,0.0
MIATK,277894003,11199267.0,4.0,1.46
OSTIM,105546887,-14296784.0,-14.000000000000002,-1.44
GSDDE,10575475,-1587859.0,-15.0,-1.27
AVTUR,7824637,660627.0,8.0,0.96
ORGE,59560185,-5229174.0,-9.0,-7.26
QUAGR,54816907,13579698.0,25.0,0.84
